MIS	  	LR04
Boundary  	Age(ka)
1/2  		14
2/3  		29
3/4  		57
4/5    		71
5.1(peak) 	82
5.2(peak)	87
5.3(peak)	96
5.4(peak)	109
5.5(peak)    	123
5/6  		130
6/7		191
7/8		243
8/9		300
9/10		337
10/11		374
11/12		424
12/13		478
13/14		533
14/15		563
15/16		621
16/17		676
17/18		712
18/19		761
19/20		790
20/21		814
21/22		866
22/23		900
23/24		917
24/25		936
25/26		959
26/27		970
27/28		982
28/29		1014
29/30		1031
30/31		1062
31/32		1081
32/33		1104
33/34		1114
34/35		1141
35/36		1190
36/37		1215
37/38		1244
38/39		1264
39/40		1286
40/41		1304
41/42		1320
42/43		1344
43/44		1362
44/45		1383
45/46		1405
46/47		1424
47/48		1452
48/49		1469
49/50		1492
50/51		1510
51/52		1530
52/53		1547.5
53/54		1570
54/55		1585
55/56		1608
56/57		1628.5
57/58		1642.5
58/59		1670
59/60		1697.5
60/61		1715
61/62		1743
62/63		1758
63/64		1782
64/65		1802.5
65/66		1816
66/67		1826
67/68		1832.5
68/69		1849
69/70		1859.5
70/71		1875
71/72		1898
72/73		1915
73/74		1941
74/75		1965
75/76		1990
76/77		2017
77/78		2043
78/79		2088
79/80		2103
80/81		2125
81/82		2146
82/83		2168
83/84		2192
84/85		2207.5
85/86		2236
86/87		2250	
87/88		2273
88/89		2291
89/90		2309
90/91		2333
91/92		2350
92/93		2373
93/94		2387
94/95		2407
95/96		2427
96/97		2452
97/98		2477
98/99		2494
99/100		2510
100/101		2540
101/102		2554
102/103		2575
103/104		2595
104/G1		2614
G1/G2		2638
G2/G3		2652
G3/G4		2681
G4/G5		2690
G5/G6		2704
G6/G7		2730
G7/G8		2759
G8/G9		2777
G9/G10		2798
G10/G11		2820
G11/G12		2838
G12/G13		2858
G13/G14		2876
G14/G15		2893
G15/G16		2913
G16/G17		2937
G17/G18		2966
G18/G19		2982.5
G19/G20		2999
G20/G21		3025
G21/G22		3039
G22/K1		3055	
K1/K2		3087
K2/KM1		3097
KM1/KM2		3119
KM2/KM3		3150
KM3/KM4		3167
KM4/KM5		3184
KM5/KM6		3212
KM6/M1		3238
M1/M2		3264
M2/MG1		3312
MG1/MG2		3332
MG2/MG3		3347
MG3/MG4		3372
MG4/MG5		3387
MG5/MG6		3444
MG6/MG7		3471
MG7/MG8		3517
MG8/MG9		3532
MG9/MG10	3546
MG10/MG11	3566
MG11/MG12	3578
MG12/Gi1	3592
Gi1/Gi2		3619
Gi2/Gi3		3637
Gi3/Gi4		3660
Gi4/Gi5		3676
Gi5/Gi6		3705
Gi6/Gi7		3719
Gi7/Gi8		3742
Gi8/Gi9		3752
Gi9/Gi10	3768
Gi10/Gi11	3798
Gi11/Gi12	3822
Gi12/Gi13	3835
Gi13/Gi14	3862
Gi14/Gi15	3879
Gi15/Gi16	3912
Gi16/Gi17	3923
Gi17/Gi18	3939
Gi18/Gi19	3952
Gi19/Gi20	3978
Gi20/Gi21	4007
Gi21/Gi22	4029
Gi22/Gi23	4048
Gi23/Gi24	4085
Gi24/Gi25	4098
Gi25/Gi26	4146
Gi26/Gi27	4175
Gi27/Gi28	4192
Gi28/Co1	4211
Co1/Co2		4232
Co2/Co3		4259
Co3/Co4		4286
Co4/CN1		4303
CN1/CN2		4327
CN2/CN3		4335
CN3/CN4		4356
CN4/CN5		4371
CN5/CN6		4395
CN6/CN7		4420
CN7/CN8		4446
CN8/N1		4457
N1/N2		4487
N2/N3		4508
N3/N4		4523
N4/N5		4538
N5/N6		4570
N6/N7		4587
N7/N8		4603
N8/N9		4622
N9/N10		4648
N10/NS1		4658
NS1/NS2		4684
NS2/NS3		4702.5
NS3/NS4		4722.5
NS4/NS5		4737
NS5/NS6		4766
NS6/Si1		4778
Si1/Si2		4807
Si2/Si3		4821
Si3/Si4		4840
Si4/Si5		4860	
Si5/Si6		4883
Si6/ST1		4904
ST1/ST2		4931
ST2/ST3		4952.5
ST3/ST4		4976
ST4/T1		4985
T1/T2		5002
T2/T3		5016
T3/T4		5038
T4/T5		5070
T5/T6		5094
T6/T7		5116
T7/T8		5165
T8/TG1		5188
TG1/TG2		5241
TG2/TG3		5266
TG3/TG4		5289
TG4/TG5		5301
TG5/TG6		5315
